Date,Time,Away_Team,Home_Team,Away_Money_Line,Home_Money_Line,Away_Total,Home_Total,temp,DP,HUMID,Baro,M,N,O,P,Q,R,Total_Hits,Total_Walks,Total_Walks_Hits,Total_Bases,Away_Inning_1,h9,h8,h7,h6,h5,h4,h3,h2,h1,Home_Inning_1,a9,a8,a7,a6,a5,a4,A3,A2,A1,AQ,home_runs,stolen_bases,Away_Starter_Last_Name,Away_Starter_Handedness,Home_Starter_First_Name,Home_Starter_Last_Name,Home_Starter_Handedness,LD_PA,GB_PA,FB_PA,SO_PA,LD_BABIP,GB_BABIP,FB_BABIP,BF
7/10/2015,6:00 PM,Braves,Rockies,106,-115,10 +101,10 -111,80.1,45,29,29.84,SE,5.8,1.1694,9,0,9,8,20,6,26,41,0,0,0,0,1,3,0,0,1,\N,0,0,0,3,0,0,0,0,0,,2,,,,,,,,,,,,,,
7/9/2015,6:00 PM,Braves,Rockies,100,-108,10 -107,10 -103,70,52,53,29.89,WNW,5.8,1.1924,6.75,6.75,13.5,8,26,3,29,40,0,0,0,0,1,0,0,2,2,\N,0,0,0,0,3,0,0,0,0,,1,,,,,,,,,,,,,,
6/20/2015,2:00 PM,Brewers,Rockies,120,-130,10 -117,10 +106,82,52,35,29.83,ESE,8.1,1.1636,6.75,0,6.75,6,13,4,17,28,0,0,2,0,2,0,0,1,0,\N,0,0,0,1,0,0,0,0,0,,2,,,,,,,,,,,,,,
6/21/2015,2:00 PM,Brewers,Rockies,104,-113,11 -116,11 +105,90,51.1,26,29.75,SE,13.8,1.1438,13.5,4.5,18,14,26,4,30,44,0,0,0,4,0,3,3,0,0,\N,0,1,0,1,0,1,0,1,0,,1,,,,,,,,,,,,,,
6/10/2015,1:00 PM,Cardinals,Rockies,-148,136,9.5 -105,9.5 -105,73.9,57,55,29.73,NNE,8.1,1.1761,0,6.75,6.75,6,19,4,23,33,0,0,2,0,0,0,0,0,0,\N,0,1,0,0,1,0,2,0,0,,2,,,,,,,,,,,,,,
4/11/2015,6:00 PM,Cubs,Rockies,101,-109,10.5 -110,10.5 +100,61,21.9,22,29.71,South,5.8,1.2098,6.75,11.25,18,14,24,9,33,53,0,2,0,0,0,0,1,2,0,\N,0,0,0,3,1,0,2,2,1,,4,,,,,,,,,,,,,,
4/10/2015,2:00 PM,Cubs,Rockies,123,-133,10 -110,10 +100,60.1,21.9,23,29.94,Variable,5.8,1.2213,6.75,2.25,9,6,16,9,25,31,0,0,0,2,2,0,0,1,0,\N,0,0,0,0,0,0,1,0,0,,1,,,,,,,,,,,,,,
6/24/2015,6:00 PM,Diamondbacks,Rockies,106,-115,10.5 -115,10.5 +104,66.9,55.9,68,30.27,SSW,15,1.2138,11.25,11.25,22.5,15,21,10,31,42,0,0,0,0,4,0,0,1,2,\N,3,0,0,0,2,3,0,0,0,,2,,,,,,,,,,,,,,
5/6/2015,1:00 PM,Diamondbacks,Rockies,129,-140,10.5 +100,10.5 -110,60.1,45,57,29.6,NE,8.1,1.2046,4.5,20.25,24.75,20,31,11,42,68,1,3,1,0,2,0,0,0,0,\N,1,1,0,2,0,5,1,3,0,,5,,,,,,,,,,,,,,
9/2/2015,6:00 PM,Diamondbacks,Rockies,120,-130,10.5 -110,10.5 +100,82,37.9,21,29.82,South,3.5,1.1656,0,2.25,2.25,13,28,4,32,51,0,2,4,0,0,0,0,0,3,\N,0,0,0,2,0,0,0,1,1,,3,,,,,,,,,,,,,,
8/31/2015,6:00 PM,Diamondbacks,Rockies,-113,104,10 -107,10 -103,66,55.9,70,30,South,4.6,1.205,2.25,9,11.25,9,22,6,28,41,4,0,0,0,0,0,1,0,0,\N,0,0,0,0,1,0,3,0,0,,1,,,,,,,,,,,,,,
6/2/2015,1:00 PM,Dodgers,Rockies,,,,,84,30,14,29.73,Variable,4.6,1.1587,11.25,6.75,18,6,17,2,19,33,0,0,1,0,2,2,0,1,0,\N,0,0,0,0,1,0,2,0,0,,3,,,,,,,,,,,,,,
6/2/2015,6:00 PM,Dodgers,Rockies,,,,,84,26.1,12,29.68,Variable,4.6,1.1572,6.75,6.75,13.5,17,28,5,33,54,0,1,2,2,0,1,2,0,0,\N,4,0,1,0,0,0,3,0,1,,5,,,,,,,,,,,,,,
9/5/2015,6:00 PM,Giants,Rockies,127,-138,10.5 -106,10.5 -104,79,42.1,27,29.78,SW,17.3,1.1699,2.25,9,11.25,10,18,6,24,42,0,0,0,2,0,0,1,0,0,\N,0,0,2,1,2,0,1,1,0,,3,,,,,,,,,,,,,,
9/25/2015,6:00 PM,Dodgers,Rockies,-140,129,11.5 +102,11.5 -113,73.9,36,25,30.12,East,9.2,1.1955,13.5,0,13.5,11,18,8,26,41,0,0,0,0,0,3,3,0,1,\N,0,0,2,1,0,0,0,0,1,,3,,,,,,,,,,,,,,
9/27/2015,2:00 PM,Dodgers,Rockies,-153,141,11 -115,11 +104,84.9,28,13,29.83,Calm,0,1.1609,13.5,9,22.5,17,28,7,35,45,0,3,0,3,0,4,1,1,0,\N,1,0,0,0,0,0,3,1,0,,1,,,,,,,,,,,,,,
9/4/2015,6:00 PM,Giants,Rockies,111,-120,11 +111,11 -123,75,46,36,29.83,NW,5.8,1.18,0,0,0,2,15,2,17,24,0,0,0,0,0,0,0,0,2,\N,0,0,0,1,0,0,0,0,0,,2,,,,,,,,,,,,,,
